Open,Close,High,Low,Number of Trades,Volume,Volume Weighted Average,Increase
149.445,149.46,149.47,149.44,181,9539,149.449921,0
149.455,149.49,149.5,149.44,224,17339,149.460936,0
149.5,149.56,149.57,149.5,228,14314,149.536842,1
149.57,149.52,149.57,149.465,271,17758,149.51473,1
149.515,149.4938,149.52,149.47,158,11565,149.497594,0
149.49,149.52,149.55,149.49,197,14912,149.5231,0
149.52,149.59,149.59,149.52,215,10777,149.5468,0
149.595,149.645,149.65,149.59,357,25207,149.588684,0
149.65,149.665,149.69,149.65,308,18916,149.674396,0
149.66,149.6975,149.7,149.63,276,21022,149.661953,0
149.7,149.83,149.83,149.7,500,39201,149.761262,0
149.83,149.88,149.9,149.8,735,56330,149.844357,0
149.88,150.04,150.05,149.88,1210,131918,149.975141,1
150.08,150.03,150.08,150.03,31,445405,150.030019,0
150.03,150.03,150.03,150.03,4,34340,150.03015,0
150.03,150.03,150.03,150.03,10,50742,150.03,0
150.03,150.03,150.03,150.03,4,46285,150.029964,0
150.03,150.03,150.03,150.03,6,15245,150.029906,0
150.03,150.03,150.03,150.03,2,23443,150.03,1
149.9,149.9,149.9,149.9,3,202,149.9,0
149.92,149.9,149.92,149.9,3,876,149.910274,0
150.25,150.25,150.25,150.25,7,206,150.249078,1
150.03,150.03,150.03,150.03,1,16396,150.03,0
150.1,150.1,150.1,150.1,2,402,150.100498,1
150.02,150.02,150.02,150.02,1,100,150.02,1
150,150,150,150,1,175,150,0
150.1,150.1,150.1,150.1,2,598,150.1,0
150.3899,150.3899,150.3899,150.3899,1,100,150.3899,1
150.1,150.1,150.1,150.1,2,110,150.122727,1
150.05,150.05,150.05,150.05,4,1022,150.050049,1
150,150,150,150,2,201,150.00199,0
150.03,150.03,150.03,150.03,2,4596,150.030037,1
150,150,150,150,28,417,150.020954,1
149.6,149.63,149.91,149.63,301,92270,149.835834,1
149.72,149.59,149.76,149.54,174,11765,149.658476,1
149.59,149.53,149.68,149.39,356,25119,149.562496,0
149.535,149.55,149.69,149.53,227,17071,149.631202,1
149.52,149.375,149.53,149.34,217,13660,149.476479,1
149.33,149.23,149.35,149.18,373,22283,149.253727,1
149.19,148.9901,149.22,148.99,270,14771,149.073751,0
149.0023,149.1,149.1,148.94,211,15704,149.015424,1
149.11,149.05,149.14,149.04,171,12889,149.103857,1
149.01,148.97,149.1072,148.97,138,8376,149.03722,1
148.97,148.92,149.0336,148.85,299,12760,148.957096,0
148.91,148.95,149.05,148.87,253,14883,148.944995,1
148.9792,148.6818,149,148.67,150,8788,148.844246,1
148.69,148.67,148.71,148.61,165,10840,148.668663,1
148.67,148.65,148.76,148.62,75,3274,148.697686,0
148.64,148.8,148.8,148.6,188,11176,148.671966,0
148.789,148.8822,148.93,148.765,226,9351,148.841754,0
148.9,148.9688,148.9688,148.86,173,8101,148.908504,1
148.97,148.83,148.97,148.82,105,4753,148.905432,0
148.8276,148.85,148.87,148.78,146,9011,148.832257,0
148.88,148.85,148.935,148.85,124,5675,148.890742,0
148.88,148.94,148.94,148.82,120,7118,148.854837,1
148.95,148.895,148.98,148.88,104,5103,148.943316,0
148.9,148.91,148.9659,148.9,78,3129,148.935632,0
148.9,148.95,149.02,148.87,126,5156,148.955295,1
148.99,148.9101,148.99,148.9,64,4458,148.943604,0
148.925,149.0791,149.085,148.92,105,6636,148.991069,0
149.07,149.11,149.19,149.06,214,12497,149.129076,1
149.06,149.08,149.09,149.02,107,4268,149.057897,1
149.12,149.06,149.12,149.05,113,4610,149.089056,0
149.0997,149.08,149.18,149.06,174,11870,149.104773,0
149.11,149.19,149.27,149.11,170,9770,149.170962,0
149.19,149.21,149.21,149.1472,124,6603,149.176595,0
149.212,149.25,149.28,149.212,141,4708,149.255108,0
149.22,149.27,149.27,149.21,109,5019,149.234027,0
149.32,149.35,149.38,149.3044,99,4370,149.345231,1
149.34,149.28,149.34,149.27,81,3292,149.301541,0
149.3,149.41,149.41,149.3,87,4537,149.364642,1
149.4,149.39,149.4054,149.3518,118,4556,149.386098,1
149.39,149.37,149.39,149.34,67,3182,149.369781,1
149.4,149.3131,149.4359,149.3131,165,7893,149.377926,1
149.32,149.3,149.32,149.25,110,6201,149.273398,0
149.325,149.34,149.3635,149.32,92,3839,149.350982,1
149.32,149.3,149.331,149.27,64,2318,149.311053,0
149.3,149.42,149.42,149.3,85,3723,149.355085,1
149.409,149.4,149.426,149.39,41,7177,149.416348,0
149.415,149.46,149.49,149.39,73,11940,149.442881,1
149.48,149.43,149.48,149.42,74,3546,149.43933,0
149.4496,149.45,149.46,149.43,46,2018,149.449869,0
149.47,149.46,149.48,149.44,87,3056,149.463051,0
149.44,149.53,149.53,149.44,68,5262,149.498308,1
149.505,149.5183,149.52,149.46,93,4854,149.495642,1
149.52,149.48,149.54,149.48,75,4473,149.505972,0
149.486,149.59,149.59,149.461,81,4869,149.515953,1
149.63,149.58,149.63,149.58,64,3368,149.613909,1
149.56,149.525,149.585,149.48,86,3054,149.531203,0
149.54,149.61,149.61,149.53,63,3294,149.567615,0
149.605,149.6634,149.665,149.605,98,4879,149.636378,1
149.65,149.62,149.65,149.5703,82,3962,149.603684,0
149.6,149.73,149.7496,149.6,92,9845,149.684322,1
149.7,149.61,149.7,149.61,89,3379,149.667045,1
149.64,149.6,149.64,149.53,106,4182,149.581486,1
149.61,149.57,149.61,149.57,52,2881,149.599327,0
149.585,149.57,149.6,149.55,118,4947,149.571456,0
149.57,149.6,149.6,149.53,93,5690,149.555095,0
149.58,149.65,149.65,149.57,172,8991,149.602945,1
149.65,149.59,149.65,149.59,70,2570,149.615544,1
149.595,149.54,149.62,149.54,85,2756,149.586666,1
149.55,149.47,149.55,149.47,74,2760,149.503146,1
149.47,149.39,149.48,149.32,151,7322,149.390719,0
149.4,149.41,149.43,149.39,102,4294,149.403157,1
149.44,149.38,149.45,149.375,79,4062,149.419103,1
